
[11.08.2019 12:23:37 | INFO]: Start
[11.08.2019 12:23:37 | INFO]: Слушаем порт 8081
[11.08.2019 12:24:19 | INFO]: pwd
[11.08.2019 12:24:26 | INFO]: cat 1.txt
[11.08.2019 12:24:30 | INFO]: cat 2.txt
[11.08.2019 12:25:01 | INFO]: copy from client 2.txt
[11.08.2019 12:25:22 | INFO]: copy.from cl copy.from client 2.txt

[11.09.2019 21:45:47 | INFO]: Start
[11.09.2019 21:45:47 | INFO]: Слушаем порт 8081
[11.09.2019 21:47:12 | INFO]: Start
[11.09.2019 21:47:12 | INFO]: Слушаем порт 8081
[11.09.2019 21:47:32 | INFO]: mkfile hell.txt
[11.09.2019 21:49:02 | INFO]: Start
[11.09.2019 21:49:02 | INFO]: Слушаем порт 8081
[11.09.2019 21:49:19 | INFO]: mkfile hel.txt
[11.09.2019 21:50:48 | INFO]: Start
[11.09.2019 21:50:48 | INFO]: Слушаем порт 8081
[11.09.2019 21:51:00 | INFO]: mkfile hel.txt
[11.09.2019 21:53:49 | INFO]: Start
[11.09.2019 21:53:49 | INFO]: Слушаем порт 8081
[11.09.2019 21:54:08 | INFO]: cat hello.txt
[11.09.2019 21:55:25 | INFO]: cat 2.txt
[11.09.2019 21:55:30 | INFO]: cat 12.xt
[11.09.2019 21:55:58 | INFO]: Start
[11.09.2019 21:55:58 | INFO]: Слушаем порт 8081
[11.09.2019 21:56:05 | INFO]: cat hello.txt
[11.09.2019 21:59:38 | INFO]: Start
[11.09.2019 21:59:43 | INFO]: Start
[11.09.2019 21:59:43 | INFO]: Слушаем порт 8081
[11.09.2019 22:00:02 | INFO]: Start
[11.09.2019 22:00:02 | INFO]: Слушаем порт 8081
[11.09.2019 22:00:11 | INFO]: cat hello.txt
[11.09.2019 22:01:29 | INFO]: Start
[11.09.2019 22:01:29 | INFO]: Слушаем порт 8081
[11.09.2019 22:01:36 | INFO]: cat hello.txt
[11.09.2019 22:02:20 | INFO]: Start
[11.09.2019 22:02:20 | INFO]: Слушаем порт 8081
[11.09.2019 22:02:27 | INFO]: cat hello.txt
[11.09.2019 22:02:52 | INFO]: Start
[11.09.2019 22:02:52 | INFO]: Слушаем порт 8081
[11.09.2019 22:02:58 | INFO]: cat hello.txt
[11.09.2019 22:03:31 | INFO]: Start
[11.09.2019 22:03:31 | INFO]: Слушаем порт 8081
[11.10.2019 14:34:46 | INFO]: Start
[11.10.2019 14:34:46 | INFO]: Слушаем порт 8081
[11.10.2019 14:36:22 | INFO]: Start
[11.10.2019 14:36:22 | INFO]: Слушаем порт 8081
[11.10.2019 14:37:48 | INFO]: Start
[11.10.2019 14:37:48 | INFO]: Слушаем порт 8081
[11.10.2019 14:39:47 | INFO]: Start
[11.10.2019 14:39:47 | INFO]: Слушаем порт 8081
[11.10.2019 14:42:13 | INFO]: Start
[11.10.2019 14:42:13 | INFO]: Слушаем порт 8081
[11.10.2019 14:43:54 | INFO]: Start
[11.10.2019 14:43:54 | INFO]: Слушаем порт 8081
[11.10.2019 14:45:48 | INFO]: Start
[11.10.2019 14:45:48 | INFO]: Слушаем порт 8081
[11.10.2019 14:46:15 | INFO]: pwd
[11.10.2019 14:47:51 | INFO]: Start
[11.10.2019 14:47:51 | INFO]: Слушаем порт 8081
[11.10.2019 14:48:15 | INFO]: ls
[11.10.2019 14:48:15 | INFO]: 
[11.10.2019 14:55:54 | INFO]: Start
[11.10.2019 14:55:54 | INFO]: Слушаем порт 8081
[11.10.2019 14:56:24 | INFO]: pwd
[11.10.2019 14:57:04 | INFO]: Start
[11.10.2019 14:57:04 | INFO]: Слушаем порт 8081
[11.10.2019 14:57:15 | INFO]: ls
[11.10.2019 14:57:15 | INFO]: 
[11.10.2019 14:59:53 | INFO]: Start
[11.10.2019 14:59:53 | INFO]: Слушаем порт 8081
[11.10.2019 15:00:05 | INFO]: ls
[11.10.2019 15:00:16 | INFO]: pwd
[11.10.2019 15:01:05 | INFO]: Start
[11.10.2019 15:01:05 | INFO]: Слушаем порт 8081
[11.10.2019 15:01:15 | INFO]: pwd
[11.10.2019 15:01:20 | INFO]: ls
[11.10.2019 15:01:47 | INFO]: mkfile nastya.txt
